Region/Country/Area,,Year,Series,Value
31,Azerbaijan,2005,Emissions per capita (Kilograms of carbon dioxide),3.8
31,Azerbaijan,2010,Emissions per capita (Kilograms of carbon dioxide),2.9
31,Azerbaijan,2015,Emissions per capita (Kilograms of carbon dioxide),3.4
31,Azerbaijan,2019,Emissions per capita (Kilograms of carbon dioxide),3.4
31,Azerbaijan,2020,Emissions per capita (Kilograms of carbon dioxide),3.3
31,Azerbaijan,2021,Emissions per capita (Kilograms of carbon dioxide),3.4
44,Bahamas,1975,Emissions (thousand metric tons of carbon dioxide),"7,862"
44,Bahamas,1985,Emissions (thousand metric tons of carbon dioxide),"1,502"
44,Bahamas,2005,Emissions (thousand metric tons of carbon dioxide),"1,960"
44,Bahamas,2010,Emissions (thousand metric tons of carbon dioxide),"2,282"
44,Bahamas,2015,Emissions (thousand metric tons of carbon dioxide),"2,275"
44,Bahamas,2019,Emissions (thousand metric tons of carbon dioxide),"2,566"
44,Bahamas,2020,Emissions (thousand metric tons of carbon dioxide),"2,085"
44,Bahamas,2021,Emissions (thousand metric tons of carbon dioxide),"2,547"
44,Bahamas,1975,Emissions per capita (Kilograms of carbon dioxide),41.6
44,Bahamas,1985,Emissions per capita (Kilograms of carbon dioxide),6.4
44,Bahamas,2005,Emissions per capita (Kilograms of carbon dioxide),5.6
44,Bahamas,2010,Emissions per capita (Kilograms of carbon dioxide),6.1
44,Bahamas,2015,Emissions per capita (Kilograms of carbon dioxide),5.8
44,Bahamas,2019,Emissions per capita (Kilograms of carbon dioxide),6.3
44,Bahamas,2020,Emissions per capita (Kilograms of carbon dioxide),5.1
44,Bahamas,2021,Emissions per capita (Kilograms of carbon dioxide),6.2
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),"5,385"
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),"9,749"
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),"21,462"
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),"25,338"
48,Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),"29,103"
48,Bahrain,2019,Emissions (thousand metric tons of carbon dioxide),"33,807"
48,Bahrain,2020,Emissions (thousand metric tons of carbon dioxide),"33,712"
48,Bahrain,2021,Emissions (thousand metric tons of carbon dioxide),"32,300"
48,Bahrain,1975,Emissions per capita (Kilograms of carbon dioxide),20.3
48,Bahrain,1985,Emissions per capita (Kilograms of carbon dioxide),23.4
48,Bahrain,2005,Emissions per capita (Kilograms of carbon dioxide),23.8
48,Bahrain,2010,Emissions per capita (Kilograms of carbon dioxide),20.9
48,Bahrain,2015,Emissions per capita (Kilograms of carbon dioxide),21.4
48,Bahrain,2019,Emissions per capita (Kilograms of carbon dioxide),22.6
48,Bahrain,2020,Emissions per capita (Kilograms of carbon dioxide),22.8
48,Bahrain,2021,Emissions per capita (Kilograms of carbon dioxide),22.1
50,Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),"4,529"
50,Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),"8,617"
50,Bangladesh,2005,Emissions (thousand metric tons of carbon dioxide),"33,055"
50,Bangladesh,2010,Emissions (thousand metric tons of carbon dioxide),"51,179"
50,Bangladesh,2015,Emissions (thousand metric tons of carbon dioxide),"74,849"
50,Bangladesh,2019,Emissions (thousand metric tons of carbon dioxide),"92,493"
50,Bangladesh,2020,Emissions (thousand metric tons of carbon dioxide),"93,512"
50,Bangladesh,2021,Emissions (thousand metric tons of carbon dioxide),"105,252"
50,Bangladesh,1975,Emissions per capita (Kilograms of carbon dioxide),0.1
50,Bangladesh,1985,Emissions per capita (Kilograms of carbon dioxide),0.1
50,Bangladesh,2005,Emissions per capita (Kilograms of carbon dioxide),0.2
50,Bangladesh,2010,Emissions per capita (Kilograms of carbon dioxide),0.3
50,Bangladesh,2015,Emissions per capita (Kilograms of carbon dioxide),0.5
50,Bangladesh,2019,Emissions per capita (Kilograms of carbon dioxide),0.6
50,Bangladesh,2020,Emissions per capita (Kilograms of carbon dioxide),0.6
50,Bangladesh,2021,Emissions per capita (Kilograms of carbon dioxide),0.6
52,Barbados,1975,Emissions (thousand metric tons of carbon dioxide),571
52,Barbados,1985,Emissions (thousand metric tons of carbon dioxide),744
52,Barbados,2005,Emissions (thousand metric tons of carbon dioxide),"1,296"
52,Barbados,2010,Emissions (thousand metric tons of carbon dioxide),"1,491"
52,Barbados,2015,Emissions (thousand metric tons of carbon dioxide),"1,282"
52,Barbados,2019,Emissions (thousand metric tons of carbon dioxide),"1,333"
52,Barbados,2020,Emissions (thousand metric tons of carbon dioxide),"1,169"
52,Barbados,2021,Emissions (thousand metric tons of carbon dioxide),"1,079"
52,Barbados,1975,Emissions per capita (Kilograms of carbon dioxide),2.3
52,Barbados,1985,Emissions per capita (Kilograms of carbon dioxide),2.9
52,Barbados,2005,Emissions per capita (Kilograms of carbon dioxide),4.8
52,Barbados,2010,Emissions per capita (Kilograms of carbon dioxide),5.4
52,Barbados,2015,Emissions per capita (Kilograms of carbon dioxide),4.6
52,Barbados,2019,Emissions per capita (Kilograms of carbon dioxide),4.8
52,Barbados,2020,Emissions per capita (Kilograms of carbon dioxide),4.2
