,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
414,Kazakhstan,Eurasia,2022,NF,7,5,5,18,23,95.8,96.2,101.1,100.7,,,1693.0,1559.0,,27.4,,,,,,,,2.6,,,,,,,,,,,84.3,227399.0,225496.0,11625.0,3.2,29.6,12.6,7.4,20.03,10.29,9.75,94.8,2725.0,92.3
247,Kazakhstan,Eurasia,2023,NF,7,5,5,18,23,,,,,,,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Kazakhstan,Eurasia,2024,NF,7,5,5,18,23,,,,,,,,,,19.4,63.0,74.3,68.3,5.2,4.0,4.6,,,,,,,,,,,,,,,,,,29.4,13.2,7.6,20.59,10.56,10.03,95.0,,
1011,Kenya,Africa,2015,PF,4,4,22,29,51,93.4,93.8,104.8,106.1,,,2168.0,8169.0,,19.7,71.4,77.3,74.3,3.0,2.6,2.8,31.8,4.8,0.2,2.6,7.1,2.4,13.2,,,,30.6,29.3,25.7,70121.0,70121.0,1497.0,5.0,42.0,3.7,81.1,47.09,23.63,23.46,99.3,,16.6
758,Kenya,Africa,2020,PF,4,4,19,29,48,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,84064.0,100658.0,1936.0,-0.3,,,,,,,,,27.6
587,Kenya,Africa,2021,PF,4,4,19,29,48,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,90445.0,109704.0,2070.0,7.6,,,,,,,,,38.2
415,Kenya,Africa,2022,PF,4,4,19,29,48,81.8,94.8,96.2,98.1,,,2408.0,7814.0,,21.4,,,,,,,41.8,4.9,0.1,2.7,7.2,27.2,13.3,,,,33.0,31.5,27.9,94829.0,113420.0,2099.0,4.8,38.1,4.6,93.4,54.25,27.27,26.98,98.9,592.0,40.8
248,Kenya,Africa,2023,PF,4,4,22,30,52,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Kenya,Africa,2024,PF,4,4,22,30,52,,,,,,,,,,23.3,72.3,75.3,73.8,7.4,3.7,5.6,,,,,,,,,,,,,,,,,,36.8,4.8,97.2,56.43,28.38,28.06,98.9,,
1012,Kiribati,Asia,2015,F,1,1,36,55,91,102.9,90.0,105.1,104.6,,,7.0,16.0,,8.7,,,,,,,,,,,,,,6.1,12.9,19.2,21.9,23.4,24.8,170.0,170.0,1459.0,9.9,35.2,5.8,160.9,0.12,0.06,0.06,93.3,,14.9
759,Kiribati,Asia,2020,F,1,1,37,56,93,105.2,103.7,102.1,100.8,,,8.0,18.0,,6.5,,,,,,,,,,,,,,,,,,,,172.0,178.0,1405.0,-1.4,,,,,,,,,52.1
588,Kiribati,Asia,2021,F,1,1,37,56,93,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,185.0,227.0,1765.0,7.9,,,,,,,,,54.0
416,Kiribati,Asia,2022,F,1,1,37,56,93,,,,,,,,,,6.7,,,,,,,,,,,,,,6.5,14.4,20.4,25.1,24.8,24.6,187.0,224.0,1704.0,1.2,35.1,6.7,179.7,0.13,0.07,0.06,93.8,1.0,54.4
249,Kiribati,Asia,2023,F,1,1,37,54,91,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kiribati,Asia,2024,F,1,1,37,53,90,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,34.7,7.2,185.3,0.13,0.07,0.07,94.3,,
1139,Kosovo,Europe,2013,PF,5,4,16,26,42,,,,,,,,,,,21.1,60.2,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Kosovo,Europe,2015,PF,4,4,23,29,52,,,,,,,,,,,,,,,,,22.3,2.4,1.4,1.1,3.6,698.9,13.9,,,,,,,6293.0,6293.0,3578.0,5.9,25.9,11.0,163.1,1.78,0.9,0.87,96.7,,
