,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
487,Switzerland,Europe,2022,F,1,1,39,57,96,102.8,102.9,101.3,101.4,100.5,106.9,267.0,539.0,350.0,42.5,,,,,,,8.7,0.5,0.0,0.5,0.5,1590.0,36.0,,96.7,,99.6,99.8,99.9,790319.0,818427.0,93636.0,2.6,15.1,25.6,219.8,8.79,4.43,4.37,98.6,41.0,96.8
317,Switzerland,Europe,2023,F,1,1,39,57,96,,,,,,,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Switzerland,Europe,2024,F,1,1,39,57,96,,,,,,,,,,38.5,61.3,71.5,66.3,4.1,3.6,3.8,,,,,,,,,,,,,,,,,,15.0,26.9,223.1,8.92,4.49,4.43,98.7,,
1147,Tajikistan,Eurasia,2013,NF,6,6,8,16,24,90.9,98.3,90.9,92.8,57.2,79.4,827.0,665.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Tajikistan,Eurasia,2015,NF,6,6,7,15,22,90.9,95.1,90.5,92.0,,,822.0,683.0,,16.9,31.9,53.1,42.4,6.1,8.4,7.6,,,,,,,,,51.9,,58.4,,,8271.0,8271.0,970.0,6.0,36.3,4.8,60.4,8.64,4.43,4.21,95.1,,19.0
912,Tajikistan,Eurasia,2017,NF,7,6,1,10,11,89.2,91.5,95.1,96.7,,,810.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Tajikistan,Eurasia,2020,NF,7,6,0,9,9,,,,,,,,,,19.1,,,,,,,,0.9,,0.2,1.6,,,,,,,,,11427.0,8134.0,852.0,4.4,,,,,,,,,27.5
660,Tajikistan,Eurasia,2021,NF,7,6,0,8,8,,,,,,,,,,23.8,,,,,,,,,,,,,,,,,,,,12506.0,8938.0,917.0,9.4,,,,,,,,,28.3
488,Tajikistan,Eurasia,2022,NF,7,6,0,8,8,,,,,,,,,,27.0,,,,,,,,,,,,,,,55.3,,59.3,,,13506.0,10492.0,1054.0,8.0,36.6,6.2,71.2,10.18,5.19,5.0,96.3,141.0,36.1
318,Tajikistan,Eurasia,2023,NF,7,7,0,7,7,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tajikistan,Eurasia,2024,NF,7,7,0,5,5,,,,,,,,,,27.0,31.5,51.1,41.2,5.5,7.9,7.0,,,,,,,,,,,,,,,,,,36.3,6.7,74.0,10.59,5.39,5.2,96.6,,
1131,Thailand,Asia,2014,PF,4,4,22,32,54,,,,,,,,,,,,,,,,,18.1,,0.0,1.1,6.6,57.0,,,,,,,,,,,,,,,,,,,,
1086,Thailand,Asia,2015,NF,6,5,8,25,33,129.3,139.8,102.4,108.6,127.8,127.3,3290.0,5081.0,3467.0,6.1,61.1,77.9,69.2,0.6,0.6,0.6,19.5,,0.4,,,56.0,5.8,,,,21.1,24.3,27.7,401296.0,401296.0,5709.0,3.1,18.1,15.3,138.1,70.54,35.86,34.68,96.7,,39.3
832,Thailand,Asia,2020,PF,6,4,6,26,32,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,432292.0,500457.0,7002.0,-6.1,,,,,,,,,77.8
661,Thailand,Asia,2021,NF,7,5,5,25,30,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,438742.0,505568.0,7061.0,1.5,,,,,,,,,85.3
489,Thailand,Asia,2022,NF,7,5,5,24,29,116.6,104.6,101.2,102.0,101.3,100.6,2596.0,4725.0,2439.0,15.8,,,,,,,13.5,,0.0,,,43.0,3.2,,,,22.2,26.3,30.0,450126.0,495341.0,6909.0,2.6,15.4,20.4,140.4,71.74,36.73,35.01,95.3,513.0,88.0
319,Thailand,Asia,2023,NF,6,5,6,24,30,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Thailand,Asia,2024,PF,5,5,12,24,36,,,,,,,,,,19.4,58.6,75.0,66.5,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,14.7,22.0,140.3,71.67,36.77,34.9,94.9,,
1087,Timor-Leste,Asia,2015,PF,3,3,29,36,65,88.2,81.2,127.9,125.8,62.9,58.3,78.0,244.0,51.0,38.5,61.5,72.7,67.1,5.9,3.2,4.5,,4.1,0.4,,,,4.6,,,,,,,1595.0,1595.0,1323.0,2.8,39.1,7.7,81.0,1.21,0.59,0.61,103.4,,18.6
913,Timor-Leste,Asia,2017,PF,3,3,29,36,65,,,,,,,,,,,,,,,,,,,0.3,,,,10.7,,,,,,,,,,,,,,,,,,,
833,Timor-Leste,Asia,2020,F,2,3,32,39,71,98.7,88.0,111.6,110.0,84.1,70.6,89.0,203.0,73.0,38.5,,,,,,,,,,,,,,,,,,,,2583.0,2163.0,1664.0,32.0,,,,,,,,,32.0
662,Timor-Leste,Asia,2021,F,2,3,33,39,72,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,2720.0,3622.0,2742.0,5.3,,,,,,,,,35.5
490,Timor-Leste,Asia,2022,F,2,3,33,39,72,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,2161.0,3205.0,2389.0,-20.5,34.8,7.6,92.1,1.37,0.68,0.69,101.6,15.0,40.8
320,Timor-Leste,Asia,2023,F,2,3,33,39,72,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Timor-Leste,Asia,2024,F,2,3,33,39,72,,,,,,,,,,38.5,61.4,72.4,66.9,2.3,1.4,1.8,,,,,,,,,,,,,,,,,,33.7,7.5,94.2,1.4,0.69,0.71,101.7,,
1088,Togo,Africa,2015,PF,4,4,18,29,47,,,125.9,130.5,,,,1498.0,,17.6,55.6,60.9,58.3,1.7,2.7,2.2,,,,,,,,6.8,16.5,31.0,3.7,5.1,7.2,5751.0,5751.0,770.0,5.5,41.5,4.7,140.9,7.66,3.82,3.85,100.7,,7.1
834,Togo,Africa,2020,PF,5,4,16,28,44,,,,,,,,,,18.7,,,,,,,,,,,,,,,,,,,,7032.0,7354.0,871.0,1.1,,,,,,,,,29.0
663,Togo,Africa,2021,PF,5,4,15,28,43,73.2,85.9,119.7,122.5,35.6,47.4,630.0,1629.0,222.0,18.7,,,,,,,,,,,,,,,,,,,,7453.0,8294.0,959.0,6.0,,,,,,,,,32.5
491,Togo,Africa,2022,PF,5,4,15,27,42,,,121.2,123.7,,,,1672.0,,18.7,,,,,,,,,,,,,,8.1,19.4,33.9,4.7,5.8,7.1,7886.0,8087.0,914.0,5.8,40.2,5.1,167.1,9.09,4.52,4.57,101.2,57.0,37.6
321,Togo,Africa,2023,PF,5,4,15,27,42,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Togo,Africa,2024,PF,5,4,15,27,42,,,,,,,,,,18.9,56.2,59.7,57.9,2.7,4.6,3.7,,,,,,,,,,,,,,,,,,39.5,5.2,174.9,9.52,4.73,4.79,101.3,,
1089,Tonga,Asia,2015,F,2,2,31,44,75,106.3,106.9,107.6,112.6,76.1,65.4,13.0,17.0,3.0,0.0,42.8,66.8,54.5,2.8,1.5,2.0,,,,,,,,23.1,29.5,50.5,37.5,34.7,25.7,403.0,403.0,3800.0,1.2,36.7,8.6,163.2,0.11,0.05,0.05,97.9,,38.7
874,Tonga,Asia,2019,F,2,2,30,49,79,,,,,,,,,,,,,,,,,,1.0,,1.9,1.9,,,,,,,,,,,,,,,,,,,,,
835,Tonga,Asia,2020,F,2,2,30,49,79,,,,,,,,,,7.4,,,,,,,,,,,3.8,,,,,,,,,450.0,487.0,4626.0,0.5,,,,,,,,,
664,Tonga,Asia,2021,F,2,2,30,49,79,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,438.0,472.0,4451.0,-2.7,,,,,,,,,57.5
492,Tonga,Asia,2022,F,2,2,30,49,79,111.2,114.5,109.9,109.8,88.0,63.2,11.0,17.0,5.0,3.7,,,,,,,,,,,,,,23.1,29.5,50.8,35.0,32.0,22.3,430.0,488.0,4571.0,-2.0,35.6,9.4,161.6,0.11,0.05,0.05,91.4,1.0,
322,Tonga,Asia,2023,F,2,2,31,50,81,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Tonga,Asia,2024,F,2,2,31,50,81,,,,,,,,,,7.1,42.9,66.2,54.1,3.0,1.8,2.3,,,,,,,,,,,,,,,,,,35.4,9.7,160.3,0.1,0.06,0.05,89.5,,
1090,Trinidad and Tobago,Americas,2015,F,2,2,33,48,81,,,,,,,,,,28.6,49.5,70.9,60.0,2.9,2.1,2.4,41.1,28.8,0.3,3.9,54.3,128.1,47.6,,,,,,,27027.0,27027.0,18509.0,-0.8,19.6,13.2,278.6,1.43,0.72,0.71,97.5,,65.1
896,Trinidad and Tobago,Americas,2018,F,2,2,33,48,81,,,,,,,,,,,,,,,,,47.9,34.4,1.3,6.2,63.2,137.9,52.4,,,,,,,,,,,,,,,,,,,
836,Trinidad and Tobago,Americas,2020,F,2,2,33,49,82,,,,,,,,,,31.0,,,,,,,,26.3,,7.0,46.1,106.6,44.8,,,,,,,21580.0,20808.0,13706.0,-9.1,,,,,,,,,77.3
665,Trinidad and Tobago,Americas,2021,F,2,2,33,49,82,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,21356.0,24496.0,16056.0,-1.0,,,,,,,,,79.0
493,Trinidad and Tobago,Americas,2022,F,2,2,33,49,82,,,,,89.8,80.0,56.0,130.0,34.0,26.2,,,,,,,,39.5,,,,,,,,,,,,21673.0,30053.0,19629.0,1.5,18.3,17.3,291.6,1.5,0.76,0.74,97.8,5.0,80.0
323,Trinidad and Tobago,Americas,2023,F,2,2,33,49,82,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Trinidad and Tobago,Americas,2024,F,2,2,33,49,82,,,,,,,,,,28.6,46.0,63.8,54.7,4.1,2.8,3.3,,,,,,,,,,,,,,,,,,17.8,18.6,293.9,1.51,0.76,0.75,97.8,,
1091,Tunisia,Africa,2015,F,1,3,36,43,79,100.7,101.3,105.9,106.3,,,488.0,1115.0,520.0,31.3,26.1,68.9,47.1,22.2,12.4,15.2,,,,,,,,61.0,76.4,83.6,51.8,73.8,84.1,45779.0,45779.0,3961.0,2.4,24.7,10.9,73.4,11.4,5.73,5.67,99.0,,46.5
928,Tunisia,Africa,2016,F,1,3,37,42,79,107.5,109.0,106.1,106.3,87.4,69.9,530.0,1139.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Tunisia,Africa,2020,F,2,3,32,38,70,,,,,,,,,,24.9,,,,,,,,4.6,,1.9,7.4,,,,,,,,,47259.0,42538.0,3498.0,-8.6,,,,,,,,,68.6
666,Tunisia,Africa,2021,F,2,3,32,39,71,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,49303.0,46687.0,3807.0,4.3,,,,,,,,,71.9
494,Tunisia,Africa,2022,PF,3,3,26,38,64,107.2,103.6,102.7,105.0,,,582.0,1321.0,,26.3,,,,,,,,,,,,,,67.1,74.3,77.4,62.9,81.1,88.9,50546.0,46181.0,3738.0,2.5,24.7,13.4,78.0,12.12,6.12,6.0,98.0,164.0,73.8
158,Tunisia,Africa,2024,PF,5,3,16,35,51,,,,,,,,,,15.7,26.9,68.9,47.3,26.2,14.1,17.7,,,,,,,,,,,,,,,,,,24.0,14.4,79.0,12.28,6.21,6.07,97.7,,
1092,Turkmenistan,Eurasia,2015,NF,7,7,1,5,6,,,,,,,,,,25.8,49.3,47.0,48.2,2.5,5.7,4.0,,1.1,,0.4,1.8,,,85.1,90.7,96.4,,,,36052.0,36052.0,6252.0,3.0,29.7,5.9,13.2,6.22,3.17,3.04,96.0,,15.0
838,Turkmenistan,Eurasia,2020,NF,7,7,0,2,2,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,35361.0,46141.0,7382.0,-2.9,,,,,,,,,
667,Turkmenistan,Eurasia,2021,NF,7,7,0,2,2,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,36995.0,55832.0,8804.0,4.6,,,,,,,,,
495,Turkmenistan,Eurasia,2022,NF,7,7,0,2,2,111.8,110.7,110.9,109.7,40.9,41.1,788.0,623.0,82.0,25.9,,,,,,,,,,,,,,92.3,94.9,97.1,,,,37596.0,67009.0,10420.0,1.6,31.7,7.3,15.4,7.23,3.69,3.54,96.0,488.0,
324,Turkmenistan,Eurasia,2023,NF,7,7,0,2,2,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Turkmenistan,Eurasia,2024,NF,7,7,0,2,2,,,,,,,,,,25.6,49.2,46.6,47.9,2.6,6.0,4.2,,,,,,,,,,,,,,,,,,31.5,7.9,15.9,7.49,3.82,3.68,96.4,,
1132,Tuvalu,Asia,2014,F,1,1,37,57,94,102.2,97.3,110.5,106.7,69.3,41.9,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Tuvalu,Asia,2015,F,1,1,37,57,94,,,115.9,110.8,,,,1.0,,6.7,,,,,,,,,,,,,,5.4,8.4,10.5,47.4,40.8,36.3,36.0,36.0,3328.0,10.4,31.9,8.7,365.4,0.01,0.01,0.01,105.0,,27.3
875,Tuvalu,Asia,2019,F,1,1,37,56,93,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
839,Tuvalu,Asia,2020,F,1,1,37,56,93,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,44.0,52.0,4675.0,-4.2,,,,,,,,,75.4
668,Tuvalu,Asia,2021,F,1,1,37,56,93,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,45.0,60.0,5370.0,1.7,,,,,,,,,82.3
496,Tuvalu,Asia,2022,F,1,1,37,56,93,102.7,97.2,96.9,99.9,89.5,68.9,1.0,1.0,0.0,6.3,,,,,,,,,,,,,,5.4,8.7,10.5,42.1,37.2,34.7,45.0,59.0,5219.0,0.7,32.0,10.0,333.1,0.01,0.0,0.01,104.7,0.0,81.2
325,Tuvalu,Asia,2023,F,1,1,37,56,93,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Tuvalu,Asia,2024,F,1,1,37,56,93,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,32.9,11.1,321.5,0.01,0.0,0.0,104.8,,
1133,Uganda,Africa,2014,PF,6,4,11,26,37,,,,,,,,,,,,,,,,,22.6,12.3,0.6,4.6,20.3,46.9,37.6,,,,,,,,,,,,,,,,,,,
1094,Uganda,Africa,2015,NF,6,5,11,25,36,,,103.8,103.4,,,,8264.0,,35.0,66.7,73.9,70.2,3.3,2.3,2.8,26.9,,,,,,,5.7,12.3,35.6,15.2,16.7,21.8,29297.0,29297.0,782.0,6.1,48.1,3.1,187.8,37.53,18.98,18.55,97.7,,5.8
929,Uganda,Africa,2016,NF,6,5,11,25,36,,,,,,,,,,,,,,,,,18.1,11.6,2.4,4.6,18.7,112.3,50.4,,,,,,,,,,,,,,,,,,,
914,Uganda,Africa,2017,NF,6,5,11,24,35,29.6,31.3,106.2,104.8,7.6,11.9,1254.0,8841.0,181.0,,,,,,,,14.3,11.8,,4.1,19.7,,,,,,,,,,,,,,,,,,,,,
840,Uganda,Africa,2020,NF,6,5,11,23,34,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,,,35549.0,38061.0,857.0,-1.4,,,,,,,,,7.4
669,Uganda,Africa,2021,NF,6,5,11,23,34,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,,,37605.0,42630.0,930.0,5.8,,,,,,,,,10.0
497,Uganda,Africa,2022,NF,6,5,11,23,34,,,,,,,,,,33.8,,,,,,,,8.8,,,,,,9.3,18.7,45.1,16.2,17.8,22.4,40038.0,48243.0,1021.0,6.5,44.3,3.4,236.8,47.31,23.86,23.45,98.3,242.0,
326,Uganda,Africa,2023,NF,6,5,11,24,35,,,,,,,,,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Uganda,Africa,2024,NF,6,5,10,24,34,,,,,,,,,,33.9,67.6,72.3,69.9,3.4,2.3,2.8,,,,,,,,,,,,,,,,,,43.5,3.5,250.3,50.02,25.21,24.81,98.4,,
1134,Ukraine,Eurasia,2014,PF,4,3,20,35,55,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,
1095,Ukraine,Eurasia,2015,PF,3,3,25,37,62,92.6,91.6,88.7,87.1,83.2,89.8,1714.0,1537.0,656.0,11.8,50.4,63.4,56.3,8.1,10.1,9.1,,,,,,,,89.6,88.8,88.5,,64.7,60.8,91031.0,91031.0,2024.0,-9.8,15.1,21.4,79.0,45.78,24.46,21.32,87.2,,48.9
915,Ukraine,Eurasia,2017,PF,3,3,25,36,61,,,,,,,,,,,,,,,,,4.5,6.2,1.1,1.9,11.1,514.4,1.8,,,,,,,,,,,,,,,,,,,
841,Ukraine,Eurasia,2020,PF,3,3,27,35,62,,,,,,,,,,20.8,,,,,,,3.8,3.9,0.8,,,274.6,1.6,,,,,,,98118.0,156618.0,3567.0,-3.8,,,,,,,,,75.0
670,Ukraine,Eurasia,2021,PF,3,4,26,34,60,87.3,85.8,91.6,90.8,78.5,79.8,1985.0,1722.0,632.0,20.8,47.8,62.9,54.6,10.1,9.5,9.8,,3.8,,,,,,,,,,,,101499.0,199766.0,4589.0,3.4,,,,,,,,,79.2
498,Ukraine,Eurasia,2022,PF,3,3,26,35,61,,,,,,,2032.0,1695.0,,20.3,,,,,,,,,,,,,,86.1,87.6,88.3,,71.9,68.9,71984.0,160503.0,4043.0,-29.1,14.8,25.1,70.9,41.05,21.93,19.12,87.2,604.0,
327,Ukraine,Eurasia,2023,PF,4,4,22,28,50,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Ukraine,Eurasia,2024,PF,4,4,21,28,49,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,13.9,26.3,65.4,37.86,20.26,17.6,86.9,,
1096,United Arab Emirates,Middle East,2015,NF,6,6,8,13,21,105.0,83.6,125.8,125.5,,,260.0,461.0,,17.5,49.4,91.4,80.6,4.5,1.3,1.8,3.6,0.7,0.9,0.4,0.8,69.7,4.2,,,,98.5,98.4,98.4,370275.0,370275.0,41525.0,6.8,16.8,3.2,122.1,8.67,3.04,5.64,185.6,,90.5
930,United Arab Emirates,Middle East,2016,NF,6,6,7,13,20,,,,,,,,,,,,,,,,,3.9,,0.8,,,53.4,4.9,,,,,,,,,,,,,,,,,,,
842,United Arab Emirates,Middle East,2020,NF,7,6,5,12,17,111.9,107.6,117.9,113.9,131.6,138.9,357.0,462.0,318.0,50.0,,,,,,,,,,,,,,,,,,,,383343.0,349473.0,37629.0,-5.0,,,,,,,,,100.0
671,United Arab Emirates,Middle East,2021,NF,7,6,5,12,17,,,,,,,,,,50.0,,,,,,,1.5,0.5,1.5,0.4,0.5,,,,,,,,,400036.0,415179.0,44332.0,4.4,,,,,,,,,100.0
499,United Arab Emirates,Middle East,2022,NF,7,6,5,12,17,,,,,,,,,,50.0,,,,,,,2.2,,2.6,,,51.0,,,,,98.5,98.5,98.5,431441.0,507064.0,53708.0,7.9,16.5,3.3,144.2,10.24,3.68,6.57,178.6,71.0,100.0
328,United Arab Emirates,Middle East,2023,NF,7,6,5,13,18,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,United Arab Emirates,Middle East,2024,NF,7,6,5,13,18,,,,,,,,,,50.0,56.2,93.1,82.8,6.6,2.1,2.9,,,,,,,,,,,,,,,,,,16.1,3.7,155.3,11.03,3.98,7.05,177.0,,
1097,United Kingdom,Europe,2015,F,1,1,40,57,97,109.7,112.9,99.8,99.8,140.6,131.2,2335.0,4621.0,4040.0,22.8,57.2,68.5,62.7,5.1,5.5,5.3,743.9,1.2,5.2,0.6,1.4,2345.3,184.0,,99.9,,93.6,98.0,99.0,2927911.0,2927911.0,44890.0,2.2,17.9,23.2,269.3,65.38,33.32,32.06,96.2,,92.0
897,United Kingdom,Europe,2018,F,1,1,40,54,94,,,,,,,,,,,,,,,,,925.4,1.2,8.8,0.8,1.5,2694.9,274.1,,,,,,,,,,,,,,,,,,,
843,United Kingdom,Europe,2020,F,1,1,39,55,94,,,,,,,,,,33.9,,,,,,,905.4,1.1,9.7,0.6,1.4,,273.4,,,,,,,2830286.0,2697807.0,40230.0,-10.4,,,,,,,,,94.8
672,United Kingdom,Europe,2021,F,1,1,39,54,93,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,3075810.0,3141506.0,46692.0,8.7,,,,,,,,,95.3
500,United Kingdom,Europe,2022,F,1,1,39,54,93,110.5,110.8,98.6,98.5,116.3,109.7,2768.0,4865.0,3535.0,34.4,,,,,,,950.7,1.4,11.6,,,,324.8,,99.8,,93.6,98.1,99.0,3209502.0,3089073.0,45758.0,4.3,17.6,24.8,280.9,68.18,34.62,33.56,96.9,242.0,95.3
329,United Kingdom,Europe,2023,F,1,1,39,54,93,,,,,,,,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,United Kingdom,Europe,2024,F,1,1,38,53,91,,,,,,,,,,34.7,58.2,66.6,62.3,4.7,5.1,4.9,,,,,,,,,,,,,,,,,,17.2,25.5,284.8,69.14,35.09,34.04,97.0,,
1098,Uruguay,Americas,2015,F,1,1,40,58,98,,,108.0,110.4,,,180.0,317.0,160.0,13.1,56.3,74.4,64.9,8.8,6.4,7.5,13.8,8.6,1.4,2.8,14.8,3213.0,50.0,,,94.5,,,,57081.0,57081.0,16775.0,1.8,21.1,19.3,19.4,3.37,1.74,1.63,94.0,,64.6
844,Uruguay,Americas,2020,F,1,1,40,58,98,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,56874.0,53667.0,15650.0,-6.3,,,,,,,,,85.5
673,Uruguay,Americas,2021,F,1,1,40,58,98,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,59875.0,61410.0,17923.0,5.3,,,,,,,,,87.6
501,Uruguay,Americas,2022,F,1,1,40,57,97,119.7,114.7,105.2,105.8,136.8,112.4,165.0,291.0,180.0,25.3,,,,,,,15.3,11.2,0.4,2.7,20.2,3385.6,23.2,,,94.6,,,,62822.0,71171.0,20793.0,4.9,19.1,20.9,19.6,3.39,1.75,1.64,94.2,174.0,89.9
330,Uruguay,Americas,2023,F,1,1,40,56,96,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Uruguay,Americas,2024,F,1,1,40,56,96,,,,,,,,,,25.3,55.1,71.4,62.9,9.8,7.1,8.3,,,,,,,,,,,,,,,,,,18.3,21.4,19.6,3.39,1.74,1.64,94.2,,
1099,Uzbekistan,Eurasia,2015,NF,7,7,0,4,4,92.7,93.5,97.7,98.7,90.6,91.3,2405.0,2135.0,1559.0,16.0,40.9,73.4,57.0,4.9,5.3,5.2,4.8,1.6,0.1,1.4,3.3,,,56.5,72.3,87.7,84.4,74.2,64.2,86196.0,86196.0,2785.0,7.2,28.3,7.5,72.3,30.75,15.27,15.48,101.4,,42.8
845,Uzbekistan,Eurasia,2020,NF,7,6,2,8,10,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,109099.0,60225.0,1796.0,2.0,,,,,,,,,71.1
674,Uzbekistan,Eurasia,2021,NF,7,6,2,9,11,,,,,,,,,,32.7,,,,,,,3.9,1.4,0.2,1.1,1.8,,,,,,,,,117176.0,69601.0,2042.0,7.4,,,,,,,,,76.6
502,Uzbekistan,Eurasia,2022,NF,7,6,2,9,11,99.9,100.3,93.8,94.5,65.4,68.0,2997.0,2464.0,1026.0,33.3,,,,,,,,,,,,,,70.7,79.8,88.8,85.9,74.5,63.4,123819.0,80392.0,2322.0,5.7,30.6,9.0,82.1,34.94,17.32,17.62,101.7,449.0,83.9
331,Uzbekistan,Eurasia,2023,NF,7,6,2,10,12,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Uzbekistan,Eurasia,2024,NF,7,6,2,10,12,,,,,,,,,,34.6,39.8,72.7,56.0,6.4,3.2,4.3,,,,,,,,,,,,,,,,,,31.1,9.5,85.5,36.36,18.02,18.34,101.8,,
1100,Vanuatu,Asia,2015,F,2,2,32,47,79,67.2,66.8,110.8,114.4,33.7,33.9,15.0,46.0,5.0,0.0,60.7,78.5,69.5,6.4,4.3,5.2,,,,,,,,,,55.8,,,34.5,760.0,760.0,2748.0,0.2,38.5,5.9,21.8,0.27,0.13,0.14,103.8,,22.4
846,Vanuatu,Asia,2020,F,2,2,33,49,82,,,,,,,,,,0.0,,,,,,,,0.3,,0.6,0.0,,,,,,,,,828.0,909.0,2918.0,-5.0,,,,,,,,,64.3
675,Vanuatu,Asia,2021,F,2,2,33,49,82,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,834.0,972.0,3045.0,0.6,,,,,,,,,68.6
503,Vanuatu,Asia,2022,F,2,2,33,49,82,75.5,69.6,108.6,112.3,77.8,82.1,21.0,56.0,15.0,0.0,,,,,,,,,,,,,,,,56.3,,,29.8,849.0,985.0,3015.0,1.8,38.8,6.5,25.7,0.31,0.15,0.16,102.1,12.0,69.9
332,Vanuatu,Asia,2023,F,2,2,33,49,82,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Vanuatu,Asia,2024,F,2,2,32,50,82,,,,,,,,,,2.0,60.7,78.7,69.6,6.6,4.1,5.2,,,,,,,,,,,,,,,,,,38.3,6.7,26.9,0.33,0.16,0.17,101.9,,
1101,Western Sahara,Africa,2015,NF,7,7,-2,7,5,,,,,,,,,,,29.5,79.2,57.6,13.6,5.9,7.6,,,,,,,,,,,,,,,,,,24.8,7.8,1.8,0.49,0.22,0.27,122.3,,
504,Western Sahara,Africa,2022,NF,7,7,-3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,9.7,2.1,0.57,0.26,0.31,122.9,266.0,
168,Western Sahara,Africa,2024,NF,7,7,-3,7,4,,,,,,,,,,,31.0,79.5,58.4,14.2,6.3,8.1,,,,,,,,,,,,,,,,,,23.1,10.1,2.2,0.59,0.27,0.33,122.8,,
